fileNBO,subSeed,nCycNBO,initSeed,nCycSet,timePrep,slurmJobID,status,time,notes,fileBoTorch,optimRepl,nOptIter,hasDirectory,fileOOF,parms
bgNBO10108658.rds,10108658,6,6140,6,Mon Jan 23 19:45:56 2023,NA,NA,NA,NA,BoTorchOut10108658_0.rds,0,499,TRUE,optOutFile10108658.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO10108658.rds,10108658,6,6140,6,Mon Jan 23 19:45:56 2023,NA,NA,NA,NA,BoTorchOut10108658_1.rds,1,499,TRUE,optOutFile10108658.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO188690362.rds,188690362,6,6135,6,Fri Jan 13 17:25:38 2023,8588338,running,NA,smlShrtMany,BoTorchOut188690362_0.rds,0,499,TRUE,optOutFile188690362.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO188690362.rds,188690362,6,6135,6,Fri Jan 13 17:25:38 2023,8588338,running,NA,smlShrtMany,BoTorchOut188690362_1.rds,1,499,TRUE,optOutFile188690362.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO27823605.rds,27823605,6,6129,6,Tue Jan  3 10:30:59 2023,8456085,running,NA,Canceled 8456031 and resubmitted this one,BoTorchOut27823605_0.rds,0,499,TRUE,optOutFile27823605.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO27823605.rds,27823605,6,6129,6,Tue Jan  3 10:30:59 2023,8456085,running,NA,Canceled 8456031 and resubmitted this one,BoTorchOut27823605_1.rds,1,499,TRUE,optOutFile27823605.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO427594024.rds,427594024,6,6134,6,Fri Jan 13 17:24:24 2023,8588332,running,NA,smlShrtMany,BoTorchOut427594024_0.rds,0,499,TRUE,optOutFile427594024.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO427594024.rds,427594024,6,6134,6,Fri Jan 13 17:24:24 2023,8588332,running,NA,smlShrtMany,BoTorchOut427594024_1.rds,1,499,TRUE,optOutFile427594024.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO442924497.rds,442924497,6,6141,6,Mon Jan 23 19:46:54 2023,NA,NA,NA,NA,BoTorchOut442924497_0.rds,0,499,TRUE,optOutFile442924497.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO442924497.rds,442924497,6,6141,6,Mon Jan 23 19:46:54 2023,NA,NA,NA,NA,BoTorchOut442924497_1.rds,1,499,TRUE,optOutFile442924497.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO472611820.rds,472611820,6,NA,NA,NA,NA,NA,NA,NA,BoTorchOut472611820_0.rds,0,499,TRUE,optOutFile472611820.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
