fileNBO,subSeed,nCycNBO,initSeed,nCycSet,nPICcycles,Budget_Full_Shrt,timePrep,slurmJobID,InBigRDS,bigRDSfiles,time,notes,fileBoTorch,optimRepl,nOptIter,hasDirectory,fileOOF,parms
bgNBO113703412.rds,113703412,12,1234,12,2,Full,Tue Jan  3 14:49:40 2023,8457254,1,113703412,9-10:38:30,I messed up one previous 12,BoTorchOut113703412_0.rds,0,99,TRUE,optOutFile113703412.txt,nCyclesToRun 12  nEntries 800 140 24  nBreedingProg 800  
bgNBO114384176.rds,114384176,6,1130,6,2,Full,Fri Jan 27 08:58:41 2023,NA,1,114384176,NA,NA,BoTorchOut114384176_0.rds,0,99,TRUE,optOutFile114384176.txt,nCyclesToRun 6  nEntries 800 140 24  nBreedingProg 800  
bgNBO126906273.rds,126906273,12,12203,12,1,Full,Wed Feb  8 13:54:25 2023,NA,1,126906273,NA,NA,BoTorchOut126906273_0.rds,0,99,TRUE,optOutFile126906273.txt,nCyclesToRun 12  nEntries 997 174 30  nBreedingProg 997  
bgNBO151555459.rds,151555459,6,6789,6,2,Full,Tue Jan  3 14:56:46 2023,8457258,1,151555459,2-11:43:50,Canceled 8457249 and resubmitted this one,BoTorchOut151555459_0.rds,0,99,TRUE,optOutFile151555459.txt,nCyclesToRun 6  nEntries 800 140 24  nBreedingProg 800  
bgNBO158867055.rds,158867055,6,60203,6,1,Full,Mon Feb  6 12:25:36 2023,NA,1,158867055,NA,NA,BoTorchOut158867055_0.rds,0,99,TRUE,optOutFile158867055.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO17715238.rds,17715238,12,21234,12,2,Full,Wed Dec 28 20:08:34 2022,8422285,1,17715238,3-19:01:39,Failed ExitCode 1 BUT it looked like it completed,BoTorchOut17715238.rds,,99,NA,optOutFile17715238.txt,NA
bgNBO193011693.rds,193011693,12,12102,12,1,Shrt,Sat Feb  4 12:57:51 2023,8729186,0,,NA,One cycle per year in PIC,BoTorchOut193011693_0.rds,0,99,TRUE,optOutFile193011693.txt,nCyclesToRun 12  nEntries 800 140 24  nBreedingProg 800  
bgNBO201004918.rds,201004918,12,12103,12,1,Shrt,Sat Feb  4 12:58:10 2023,8729187,0,,NA,One cycle per year in PIC,BoTorchOut201004918_0.rds,0,99,TRUE,optOutFile201004918.txt,nCyclesToRun 12  nEntries 800 140 24  nBreedingProg 800  
bgNBO216674758.rds,216674758,6,60202,6,1,Full,Mon Feb  6 12:25:17 2023,NA,1,216674758,NA,NA,BoTorchOut216674758_0.rds,0,99,TRUE,optOutFile216674758.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO252381126.rds,252381126,12,12100,12,1,Shrt,Sat Feb  4 12:54:42 2023,8729177,0,,NA,One cycle per year in PIC,BoTorchOut252381126_0.rds,0,99,TRUE,optOutFile252381126.txt,nCyclesToRun 12  nEntries 800 140 24  nBreedingProg 800  
bgNBO266166196.rds,266166196,12,12101,12,1,Shrt,Sat Feb  4 12:57:09 2023,8729181,0,,NA,One cycle per year in PIC,BoTorchOut266166196_0.rds,0,99,TRUE,optOutFile266166196.txt,nCyclesToRun 12  nEntries 800 140 24  nBreedingProg 800  
